,plate,well_id,total_nr_cells,infected,non-infected,%_inf_cells
0,Plate01,A10,1493,260,1233,17.41
1,Plate01,A11,1978,468,1510,23.66
2,Plate01,A12,1913,447,1466,23.37
3,Plate01,A1,2820,599,2221,21.24
4,Plate01,A2,3031,814,2217,26.86
5,Plate01,A3,2500,757,1743,30.28
6,Plate01,A4,3076,766,2310,24.9
7,Plate01,A5,2735,596,2139,21.79
8,Plate01,A6,2634,731,1903,27.75
9,Plate01,A7,1983,496,1487,25.01
10,Plate01,A8,2853,659,2194,23.1
11,Plate01,A9,2280,567,1713,24.87
12,Plate01,B10,1939,391,1548,20.17
13,Plate01,B11,1916,360,1556,18.79
14,Plate01,B12,1440,374,1066,25.97
15,Plate01,B1,2183,449,1734,20.57
16,Plate01,B2,1949,506,1443,25.96
17,Plate01,B3,1822,486,1336,26.67
18,Plate01,B4,2295,502,1793,21.87
19,Plate01,B5,2186,554,1632,25.34
20,Plate01,B6,2126,456,1670,21.45
21,Plate01,B7,1648,337,1311,20.45
22,Plate01,B8,1729,411,1318,23.77
23,Plate01,B9,1865,358,1507,19.2
24,Plate01,C10,1322,195,1127,14.75
25,Plate01,C11,1503,380,1123,25.28
26,Plate01,C12,1481,320,1161,21.61
27,Plate01,C1,1191,225,966,18.89
28,Plate01,C2,2309,657,1652,28.45
29,Plate01,C3,869,192,677,22.09
30,Plate01,C4,1453,372,1081,25.6
31,Plate01,C5,1565,394,1171,25.18
32,Plate01,C6,1821,577,1244,31.69
33,Plate01,C7,1279,330,949,25.8
34,Plate01,C8,2442,725,1717,29.69
35,Plate01,C9,2067,575,1492,27.82
36,Plate01,D10,1945,367,1578,18.87
37,Plate01,D11,1810,343,1467,18.95
38,Plate01,D12,1092,260,832,23.81
39,Plate01,D1,2022,436,1586,21.56
40,Plate01,D2,1698,385,1313,22.67
41,Plate01,D3,1636,410,1226,25.06
42,Plate01,D4,2603,698,1905,26.82
43,Plate01,D5,2246,552,1694,24.58
44,Plate01,D6,2683,621,2062,23.15
45,Plate01,D7,2193,564,1629,25.72
46,Plate01,D8,2359,556,1803,23.57
47,Plate01,D9,1995,496,1499,24.86
48,Plate01,E10,1995,456,1539,22.86
49,Plate01,E11,1863,365,1498,19.59
50,Plate01,E12,908,211,697,23.24
51,Plate01,E1,1811,514,1297,28.38
52,Plate01,E2,1515,404,1111,26.67
53,Plate01,E3,2098,511,1587,24.36
54,Plate01,E4,2742,694,2048,25.31
55,Plate01,E5,2896,840,2056,29.01
56,Plate01,E6,3461,1030,2431,29.76
57,Plate01,E7,2283,650,1633,28.47
58,Plate01,E8,2506,701,1805,27.97
59,Plate01,E9,2015,507,1508,25.16
60,Plate01,F10,1621,376,1245,23.2
61,Plate01,F11,1413,270,1143,19.11
62,Plate01,F12,1834,370,1464,20.17
63,Plate01,F1,2534,644,1890,25.41
64,Plate01,F2,2349,622,1727,26.48
65,Plate01,F3,2384,642,1742,26.93
66,Plate01,F4,2348,604,1744,25.72
67,Plate01,F5,2300,676,1624,29.39
68,Plate01,F6,2378,813,1565,34.19
69,Plate01,F7,2259,605,1654,26.78
70,Plate01,F8,2096,575,1521,27.43
71,Plate01,F9,1696,410,1286,24.17
72,Plate01,G10,1870,438,1432,23.42
73,Plate01,G11,2181,472,1709,21.64
74,Plate01,G12,2010,430,1580,21.39
75,Plate01,G1,2313,482,1831,20.84
76,Plate01,G2,2216,663,1553,29.92
77,Plate01,G3,1694,502,1192,29.63
78,Plate01,G4,2468,831,1637,33.67
79,Plate01,G5,2771,829,1942,29.92
80,Plate01,G6,2761,780,1981,28.25
81,Plate01,G7,2494,698,1796,27.99
82,Plate01,G8,2255,673,1582,29.84
83,Plate01,G9,2306,616,1690,26.71
84,Plate01,H10,1689,399,1290,23.62
85,Plate01,H11,2190,566,1624,25.84
86,Plate01,H12,2175,497,1678,22.85
87,Plate01,H1,1929,14,1915,0.73
88,Plate01,H2,2531,576,1955,22.76
89,Plate01,H3,2263,602,1661,26.6
90,Plate01,H4,2654,669,1985,25.21
91,Plate01,H5,2497,631,1866,25.27
92,Plate01,H6,2398,688,1710,28.69
93,Plate01,H7,2458,712,1746,28.97
94,Plate01,H8,2707,712,1995,26.3
95,Plate01,H9,2191,626,1565,28.57
